model,split,seed,stop_step,MU,FQ,ES,fgt_Prob,fgt_ROUGE,HM
Llama-3.2-3B-Instruct,forget05,42,125,0.6568,0.0000,0.0349,0.0079,0.0334,0.8415
Llama-3.2-3B-Instruct,forget10,42,220,0.6481,0.0000,0.0424,0.0068,0.0496,0.8328
Llama-3.2-3B-Instruct,forget01,42,79,0.6520,0.0001,0.0291,0.0000,0.0144,0.8454
Llama-3.2-3B-Instruct,forget01,123,78,0.6504,0.0005,0.0291,0.0000,0.0329,0.8400
Llama-3.2-3B-Instruct,forget01,456,83,0.6554,0.0002,0.0291,0.0000,0.0085,0.8488
Llama-3.2-3B-Instruct,forget01,789,80,0.6577,0.0030,0.0291,0.0000,0.0155,0.8484
Llama-3.2-3B-Instruct,forget01,1337,80,0.6550,0.0002,0.0291,0.0000,0.0057,0.8493
Llama-3.2-3B-Instruct,forget05,123,136,0.6543,0.0000,0.0327,0.0004,0.0052,0.8489
Llama-3.2-3B-Instruct,forget05,456,134,0.6546,0.0000,0.0328,0.0060,0.0219,0.8436
Llama-3.2-3B-Instruct,forget05,789,137,0.6513,0.0001,0.0331,0.0027,0.0311,0.8403
Llama-3.2-3B-Instruct,forget05,1337,134,0.6563,0.0001,0.0441,0.0156,0.0485,0.8356
Llama-3.2-3B-Instruct,forget10,123,235,0.6406,0.0000,0.0449,0.0095,0.0558,0.8265
Llama-3.2-3B-Instruct,forget10,456,228,0.6500,0.0000,0.0326,0.0015,0.0240,0.8416
Llama-3.2-3B-Instruct,forget10,789,249,0.6511,0.0000,0.0328,0.0029,0.0310,0.8402
Llama-3.2-3B-Instruct,forget10,1337,207,0.6472,0.0000,0.0351,0.0030,0.0271,0.8390
