model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,42,0.0,1.671,1.868,0.1,1.982,40,617
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,123,0.025,1.647,1.866,0.1,1.981,40,617
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,456,0.0,1.655,1.861,0.1,1.976,40,617
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,789,0.0,1.656,1.865,0.1,1.979,40,617
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,1337,0.05,1.643,1.854,0.1,1.968,40,617
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,42,0.105,1.668,1.53,0.125,1.985,200,617
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,123,0.05,1.647,1.52,0.105,1.979,200,617
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,456,0.06,1.635,1.525,0.12,1.981,200,617
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,789,0.08,1.642,1.525,0.115,1.982,200,617
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,1337,0.04,1.624,1.51,0.11,1.964,200,617
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,42,0.085,1.627,1.231,0.075,1.981,400,617
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,123,0.033,1.614,1.216,0.04,1.979,400,617
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,456,0.04,1.603,1.223,0.06,1.977,400,617
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,789,0.02,1.656,1.215,0.052,1.969,400,617
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,1337,0.035,1.629,1.214,0.043,1.974,400,617
