model,split,seed,stop_step,MU,FQ,ES,fgt_Prob,fgt_ROUGE,HM
Llama-3.2-1B-Instruct,forget01,42,110,0.6031,0.0971,0.0291,0.0014,0.0360,0.8115
Llama-3.2-1B-Instruct,forget01,123,107,0.5975,0.0971,0.0291,0.0017,0.0356,0.8081
Llama-3.2-1B-Instruct,forget01,456,111,0.6003,0.1650,0.0291,0.0016,0.0365,0.8096
Llama-3.2-1B-Instruct,forget01,789,120,0.5950,0.0541,0.0291,0.0015,0.0402,0.8056
Llama-3.2-1B-Instruct,forget01,1337,102,0.5987,0.1650,0.0291,0.0016,0.0435,0.8070
Llama-3.2-1B-Instruct,forget05,42,194,0.5974,0.0297,0.0367,0.0141,0.0583,0.8000
Llama-3.2-1B-Instruct,forget05,123,193,0.6011,0.0021,0.0359,0.0156,0.0512,0.8036
Llama-3.2-1B-Instruct,forget05,456,182,0.5957,0.0297,0.0346,0.0154,0.0544,0.7996
Llama-3.2-1B-Instruct,forget05,789,194,0.5933,0.0163,0.0351,0.0138,0.0671,0.7955
Llama-3.2-1B-Instruct,forget05,1337,187,0.5969,0.0030,0.0358,0.0155,0.0410,0.8035
Llama-3.2-1B-Instruct,forget10,42,244,0.5942,0.0652,0.0401,0.0137,0.0515,0.7997
Llama-3.2-1B-Instruct,forget10,123,249,0.5987,0.0063,0.0361,0.0082,0.0315,0.8084
Llama-3.2-1B-Instruct,forget10,456,225,0.5856,0.0001,0.0359,0.0073,0.0410,0.7984
Llama-3.2-1B-Instruct,forget10,789,258,0.5882,0.0000,0.0346,0.0056,0.0354,0.8016
Llama-3.2-1B-Instruct,forget10,1337,233,0.5965,0.0000,0.0375,0.0099,0.0370,0.8054
