model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
Llama-3.2-1B-Instruct,forget01,GradAscent,42,1.175,1.658,1.992,2.0,1.992,40,617
Llama-3.2-1B-Instruct,forget01,GradAscent,123,1.15,1.671,1.992,2.0,1.992,40,617
Llama-3.2-1B-Instruct,forget01,GradAscent,456,1.1,1.666,1.991,2.0,1.99,40,617
Llama-3.2-1B-Instruct,forget01,GradAscent,789,1.05,1.65,1.989,2.0,1.989,40,617
Llama-3.2-1B-Instruct,forget01,GradAscent,1337,1.05,1.655,1.991,2.0,1.99,40,617
Llama-3.2-1B-Instruct,forget01,GradDiff,42,1.25,1.564,1.98,1.975,1.981,40,617
Llama-3.2-1B-Instruct,forget01,GradDiff,123,1.275,1.545,1.973,2.0,1.971,40,617
Llama-3.2-1B-Instruct,forget01,GradDiff,456,1.1,1.475,1.96,1.925,1.963,40,617
Llama-3.2-1B-Instruct,forget01,GradDiff,789,1.15,1.546,1.971,1.925,1.974,40,617
Llama-3.2-1B-Instruct,forget01,GradDiff,1337,1.25,1.574,1.971,1.95,1.972,40,617
Llama-3.2-1B-Instruct,forget01,NPO,42,1.175,1.681,1.994,2.0,1.994,40,617
Llama-3.2-1B-Instruct,forget01,NPO,123,1.1,1.671,1.992,2.0,1.992,40,617
Llama-3.2-1B-Instruct,forget01,NPO,456,1.0,1.676,1.992,2.0,1.992,40,617
Llama-3.2-1B-Instruct,forget01,NPO,789,0.975,1.661,1.994,2.0,1.994,40,617
Llama-3.2-1B-Instruct,forget01,NPO,1337,1.0,1.677,1.995,2.0,1.995,40,617
Llama-3.2-1B-Instruct,forget01,SimNPO,42,1.75,1.647,1.985,1.975,1.985,40,617
Llama-3.2-1B-Instruct,forget01,SimNPO,123,1.8,1.652,1.989,1.975,1.99,40,617
Llama-3.2-1B-Instruct,forget01,SimNPO,456,1.7,1.652,1.985,1.975,1.985,40,617
Llama-3.2-1B-Instruct,forget01,SimNPO,789,1.75,1.668,1.985,1.975,1.985,40,617
Llama-3.2-1B-Instruct,forget01,SimNPO,1337,1.775,1.655,1.983,1.95,1.985,40,617
Llama-3.2-1B-Instruct,forget01,RMU,42,0.825,1.391,1.909,1.55,1.932,40,617
Llama-3.2-1B-Instruct,forget01,RMU,123,0.875,1.384,1.904,1.475,1.932,40,617
Llama-3.2-1B-Instruct,forget01,RMU,456,0.8,1.413,1.893,1.5,1.919,40,617
Llama-3.2-1B-Instruct,forget01,RMU,789,0.846,1.381,1.909,1.487,1.935,39,617
Llama-3.2-1B-Instruct,forget01,RMU,1337,0.725,1.391,1.896,1.425,1.927,40,617
Llama-3.2-1B-Instruct,forget01,BLURNPO,42,1.4,1.674,1.989,1.975,1.99,40,617
Llama-3.2-1B-Instruct,forget01,BLURNPO,123,1.375,1.661,1.992,2.0,1.992,40,617
Llama-3.2-1B-Instruct,forget01,BLURNPO,456,1.45,1.674,1.988,1.975,1.989,40,617
Llama-3.2-1B-Instruct,forget01,BLURNPO,789,1.45,1.673,1.994,2.0,1.994,40,617
Llama-3.2-1B-Instruct,forget01,BLURNPO,1337,1.325,1.653,1.992,1.975,1.994,40,617
Llama-3.2-1B-Instruct,forget01,PDU,42,0.949,1.59,1.938,1.487,1.966,39,617
Llama-3.2-1B-Instruct,forget01,PDU,123,0.825,1.606,1.932,1.4,1.966,40,617
Llama-3.2-1B-Instruct,forget01,PDU,456,0.8,1.582,1.936,1.425,1.969,40,617
Llama-3.2-1B-Instruct,forget01,PDU,789,0.8,1.595,1.932,1.475,1.961,40,617
Llama-3.2-1B-Instruct,forget01,PDU,1337,0.9,1.611,1.941,1.55,1.966,40,617
Llama-3.2-1B-Instruct,forget05,GradAscent,42,0.16,0.188,0.869,0.795,0.893,200,616
Llama-3.2-1B-Instruct,forget05,GradAscent,123,0.125,0.206,0.93,0.845,0.958,200,617
Llama-3.2-1B-Instruct,forget05,GradAscent,456,0.085,0.109,0.681,0.623,0.7,199,614
Llama-3.2-1B-Instruct,forget05,GradAscent,789,-1,0.0,0.0,-1,0.0,0,2
Llama-3.2-1B-Instruct,forget05,GradAscent,1337,-1,0.0,0.0,-1,0.0,0,11
Llama-3.2-1B-Instruct,forget05,GradDiff,42,0.638,1.0,1.623,1.467,1.674,199,616
Llama-3.2-1B-Instruct,forget05,GradDiff,123,0.62,0.982,1.614,1.465,1.662,200,616
Llama-3.2-1B-Instruct,forget05,GradDiff,456,0.7,1.015,1.633,1.505,1.674,200,617
Llama-3.2-1B-Instruct,forget05,GradDiff,789,0.655,1.013,1.63,1.46,1.686,200,617
Llama-3.2-1B-Instruct,forget05,GradDiff,1337,0.643,1.021,1.629,1.422,1.695,199,617
Llama-3.2-1B-Instruct,forget05,NPO,42,0.43,1.151,1.818,1.57,1.898,200,617
Llama-3.2-1B-Instruct,forget05,NPO,123,0.43,1.175,1.789,1.535,1.872,200,617
Llama-3.2-1B-Instruct,forget05,NPO,456,0.425,1.154,1.796,1.55,1.875,200,617
Llama-3.2-1B-Instruct,forget05,NPO,789,0.44,1.049,1.782,1.535,1.862,200,617
