model,split,method,seed,forget_leakage,forget_leakage_knowmem,forget_leakage_verbmem,retain_accuracy,response_quality,forget_rq,retain_rq
Llama-2-7b-hf,News,GradAscent,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,News,GradAscent,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,News,GradAscent,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,News,GradAscent,789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,News,GradAscent,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-2-7b-hf,News,GradDiff,42,0.595,1.18,0.01,0.86,0.943,0.795,1.24
Llama-2-7b-hf,News,GradDiff,123,0.575,1.14,0.01,0.81,0.927,0.77,1.24
Llama-2-7b-hf,News,GradDiff,456,0.55,1.09,0.01,0.74,0.727,0.65,0.88
Llama-2-7b-hf,News,GradDiff,789,0.565,1.13,0.0,0.8,0.89,0.735,1.2
Llama-2-7b-hf,News,GradDiff,1024,0.595,1.19,0.0,0.76,0.97,0.84,1.23
Llama-2-7b-hf,News,SimNPO,42,1.49,1.6,1.38,1.23,1.837,1.9,1.71
Llama-2-7b-hf,News,SimNPO,123,1.51,1.62,1.4,1.25,1.847,1.915,1.71
Llama-2-7b-hf,News,SimNPO,456,1.485,1.58,1.39,1.24,1.84,1.89,1.74
Llama-2-7b-hf,News,SimNPO,789,1.475,1.61,1.34,1.24,1.853,1.915,1.73
Llama-2-7b-hf,News,SimNPO,1024,1.5,1.63,1.37,1.22,1.853,1.92,1.72
Llama-2-7b-hf,News,PDU,42,0.845,1.42,0.27,1.21,1.27,1.065,1.68
Llama-2-7b-hf,News,PDU,123,0.69,1.33,0.05,1.09,1.133,0.925,1.55
Llama-2-7b-hf,News,PDU,456,1.03,1.38,0.68,1.21,1.53,1.47,1.65
Llama-2-7b-hf,News,PDU,789,0.8,1.44,0.16,1.19,1.24,1.035,1.65
Llama-2-7b-hf,News,PDU,1024,0.985,1.44,0.53,1.21,1.463,1.355,1.68
Llama-2-7b-hf,News,RMU,42,1.13,1.27,0.99,1.14,1.743,1.82,1.59
Llama-2-7b-hf,News,RMU,123,1.125,1.24,1.01,1.12,1.727,1.8,1.58
Llama-2-7b-hf,News,RMU,456,1.14,1.28,1.0,1.17,1.76,1.83,1.62
Llama-2-7b-hf,News,RMU,789,1.13,1.26,1.0,1.16,1.753,1.825,1.61
Llama-2-7b-hf,News,RMU,1024,1.15,1.28,1.02,1.14,1.75,1.825,1.6
Llama-2-7b-hf,News,NPO,42,1.245,1.44,1.05,1.05,1.813,1.925,1.59
Llama-2-7b-hf,News,NPO,123,1.185,1.35,1.02,1.05,1.777,1.88,1.57
Llama-2-7b-hf,News,NPO,456,1.17,1.34,1.0,1.08,1.793,1.895,1.59
Llama-2-7b-hf,News,NPO,789,1.215,1.38,1.05,1.03,1.773,1.885,1.55
Llama-2-7b-hf,News,NPO,1024,1.16,1.34,0.98,1.06,1.773,1.87,1.58
