model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
Llama-2-7b-chat,copyright,FT,42,1.203,1.66,1.591,1.554,1.604,74,212
Llama-2-7b-chat,copyright,GA,42,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,copyright,GradDiff,42,0.0,0.689,0.479,0.0,0.646,74,212
Llama-2-7b-chat,copyright,NPO,42,0.486,1.566,1.479,1.27,1.552,74,212
Llama-2-7b-chat,copyright,SimNPO,42,0.0,1.509,1.112,0.027,1.491,74,212
Llama-2-7b-chat,copyright,RMU,42,0.0,0.906,0.958,0.203,1.222,74,212
Llama-2-7b-chat,copyright,BLURNPO,42,0.014,0.476,0.507,0.135,0.637,74,212
Llama-2-7b-chat,copyright,PDU,42,0.014,1.495,1.0,0.027,1.34,74,212
Llama-2-7b-chat,copyright,BLADE,42,0.041,1.75,1.224,0.054,1.632,74,212
Llama-2-7b-chat,copyright,MemFlex,42,0.0,0.425,0.972,0.122,1.269,74,212
Llama-2-7b-chat,privacy,FT,42,1.764,1.694,1.95,1.918,1.981,110,108
Llama-2-7b-chat,privacy,GA,42,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,privacy,GradDiff,42,0.055,0.991,0.757,0.073,1.454,110,108
Llama-2-7b-chat,privacy,NPO,42,0.564,1.111,1.794,1.6,1.991,110,108
Llama-2-7b-chat,privacy,SimNPO,42,0.355,1.315,1.096,0.373,1.833,110,108
Llama-2-7b-chat,privacy,RMU,42,0.018,0.028,0.161,0.109,0.213,110,108
Llama-2-7b-chat,privacy,BLURNPO,42,0.073,0.843,0.913,0.164,1.676,110,108
Llama-2-7b-chat,privacy,PDU,42,0.036,1.148,0.757,0.045,1.481,110,108
Llama-2-7b-chat,privacy,BLADE,42,0.136,1.463,0.954,0.145,1.778,110,108
Llama-2-7b-chat,privacy,MemFlex,42,0.073,0.685,0.693,0.164,1.231,110,108
Llama-2-7b-chat,copyright,GA,123,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,copyright,GA,456,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,copyright,GA,789,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,copyright,GA,1024,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,privacy,GA,123,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,privacy,GA,456,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,privacy,GA,789,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,privacy,GA,1024,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,copyright,RMU,123,0.405,1.17,1.217,0.486,1.472,74,212
Llama-2-7b-chat,copyright,RMU,456,0.568,1.123,1.217,0.554,1.448,74,212
Llama-2-7b-chat,copyright,RMU,789,0.581,1.17,1.21,0.568,1.434,74,212
Llama-2-7b-chat,copyright,RMU,1024,0.527,1.25,1.22,0.392,1.509,74,212
Llama-2-7b-chat,privacy,RMU,123,0.191,0.185,0.683,0.782,0.583,110,108
Llama-2-7b-chat,privacy,RMU,456,0.109,0.185,0.683,0.764,0.602,110,108
Llama-2-7b-chat,privacy,RMU,789,0.136,0.222,0.693,0.818,0.565,110,108
Llama-2-7b-chat,privacy,RMU,1024,0.191,0.222,0.711,0.8,0.62,110,108
Llama-2-7b-chat,copyright,GradDiff,123,0.027,0.948,0.552,0.0,0.745,74,212
Llama-2-7b-chat,copyright,GradDiff,456,0.054,0.901,0.643,0.0,0.868,74,212
Llama-2-7b-chat,copyright,GradDiff,789,0.027,1.085,0.668,0.0,0.901,74,212
Llama-2-7b-chat,copyright,GradDiff,1024,0.203,1.16,0.787,0.014,1.057,74,212
Llama-2-7b-chat,copyright,SimNPO,123,0.297,1.83,1.469,0.108,1.943,74,212
Llama-2-7b-chat,copyright,SimNPO,456,0.095,1.816,1.444,0.068,1.925,74,212
Llama-2-7b-chat,copyright,SimNPO,789,0.527,1.816,1.472,0.162,1.929,74,212
Llama-2-7b-chat,copyright,SimNPO,1024,0.554,1.844,1.545,0.378,1.953,74,212
Llama-2-7b-chat,copyright,PDU,123,0.081,1.703,1.262,0.0,1.703,74,212
Llama-2-7b-chat,copyright,PDU,456,0.108,1.59,1.154,0.0,1.557,74,212
Llama-2-7b-chat,copyright,PDU,789,0.122,1.66,1.224,0.0,1.651,74,212
Llama-2-7b-chat,copyright,PDU,1024,0.054,1.618,1.238,0.027,1.66,74,212
Llama-2-7b-chat,privacy,GradDiff,123,0.055,1.111,0.61,0.045,1.185,110,108
Llama-2-7b-chat,privacy,GradDiff,456,0.064,1.204,0.748,0.055,1.454,110,108
Llama-2-7b-chat,privacy,GradDiff,789,0.009,1.028,0.624,0.018,1.241,110,108
Llama-2-7b-chat,privacy,GradDiff,1024,0.018,1.046,0.541,0.027,1.065,110,108
Llama-2-7b-chat,privacy,SimNPO,123,0.773,1.574,1.174,0.509,1.852,110,108
Llama-2-7b-chat,privacy,SimNPO,456,0.945,1.574,1.367,0.845,1.898,110,108
Llama-2-7b-chat,privacy,SimNPO,789,0.955,1.62,1.413,0.918,1.917,110,108
Llama-2-7b-chat,privacy,SimNPO,1024,0.918,1.657,1.679,1.427,1.935,110,108
Llama-2-7b-chat,privacy,PDU,123,0.1,1.324,0.83,0.091,1.583,110,108
Llama-2-7b-chat,privacy,PDU,456,0.045,1.25,0.775,0.073,1.491,110,108
Llama-2-7b-chat,privacy,PDU,789,0.018,1.241,0.761,0.027,1.509,110,108
Llama-2-7b-chat,privacy,PDU,1024,0.073,1.278,0.821,0.073,1.583,110,108
Llama-2-7b-chat,copyright,NPO,123,1.581,1.807,1.951,1.973,1.943,74,212
Llama-2-7b-chat,copyright,NPO,456,1.5,1.788,1.923,1.946,1.915,74,212
Llama-2-7b-chat,copyright,NPO,789,1.73,1.849,1.948,1.946,1.948,74,212
Llama-2-7b-chat,copyright,NPO,1024,1.541,1.835,1.955,1.973,1.948,74,212
Llama-2-7b-chat,privacy,NPO,123,1.0,1.491,1.913,1.891,1.935,110,108
Llama-2-7b-chat,privacy,NPO,456,0.973,1.491,1.904,1.836,1.972,110,108
Llama-2-7b-chat,privacy,NPO,789,1.218,1.454,1.954,1.945,1.963,110,108
Llama-2-7b-chat,privacy,NPO,1024,1.191,1.435,1.959,1.945,1.972,110,108
Llama-2-7b-chat,copyright,BLADE,123,0.027,1.821,1.448,0.027,1.943,74,212
Llama-2-7b-chat,copyright,BLADE,456,0.257,1.825,1.462,0.054,1.953,74,212
Llama-2-7b-chat,copyright,BLADE,789,0.365,1.849,1.472,0.095,1.953,74,212
Llama-2-7b-chat,privacy,BLADE,123,0.382,1.574,1.087,0.364,1.824,110,108
Llama-2-7b-chat,privacy,BLADE,456,0.291,1.565,1.032,0.264,1.815,110,108
Llama-2-7b-chat,copyright,BLADE,1024,0.527,1.83,1.472,0.095,1.953,74,212
Llama-2-7b-chat,privacy,BLADE,789,0.082,1.389,0.807,0.055,1.574,110,108
Llama-2-7b-chat,privacy,BLADE,1024,0.109,1.491,0.894,0.082,1.722,110,108
