model,split,method,seed,forget_leakage,forget_leakage_knowmem,forget_leakage_verbmem,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget_knowmem,n_forget_verbmem,n_retain
Llama-2-7b-hf,Books,GradAscent,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
Llama-2-7b-hf,Books,GradDiff,42,0.0,0.0,0.0,0.05,0.02,0.0,0.06,100,100,100
Llama-2-7b-hf,Books,NPO,42,0.76,0.76,0.0,1.31,1.62,1.47,1.77,100,0,100
Llama-2-7b-hf,Books,SimNPO,42,0.55,0.56,0.54,1.26,1.287,1.11,1.64,100,100,100
Llama-2-7b-hf,Books,RMU,42,0.17,0.34,0.0,1.33,0.953,0.57,1.72,100,100,100
Llama-2-7b-hf,Books,adaptive_T250,42,0.135,0.27,0.0,1.4,0.76,0.295,1.69,100,100,100
Llama-2-7b-hf,News,GradAscent,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100,100
Llama-2-7b-hf,News,GradDiff,42,0.43,0.86,0.0,0.56,0.743,0.525,1.18,100,100,100
Llama-2-7b-hf,News,NPO,42,1.325,1.49,1.16,0.95,1.69,1.655,1.76,100,100,100
Llama-2-7b-hf,News,SimNPO,42,1.325,1.46,1.19,0.91,1.653,1.635,1.69,100,100,100
Llama-2-7b-hf,News,RMU,42,0.875,1.1,0.65,0.73,1.487,1.415,1.63,100,100,100
Llama-2-7b-hf,News,BLURNPO,42,0.475,0.62,0.33,0.51,1.17,1.02,1.47,100,100,100
Llama-2-7b-hf,News,PDU,42,0.59,1.18,0.0,0.76,0.947,0.65,1.54,100,100,100
Llama-2-7b-hf,News,BLADE,42,0.855,1.35,0.36,0.88,1.113,0.81,1.72,100,100,100
Llama-2-7b-hf,Books,BLURNPO,42,0.205,0.41,0.0,1.09,0.663,0.26,1.47,100,100,100
Llama-2-7b-hf,Books,PDU,42,0.28,0.38,0.18,0.92,0.743,0.475,1.28,100,100,100
Llama-2-7b-hf,Books,BLADE_A1_K0,42,0.095,0.19,0.0,1.37,0.723,0.245,1.68,100,100,100
Llama-2-7b-hf,Books,BLADE_A4_GA,42,0.01,0.02,0.0,0.1,0.07,0.015,0.18,100,100,100
Llama-2-7b-hf,Books,BLADE_A5_NPO,42,1.435,0.87,2.0,1.47,1.737,1.745,1.72,100,100,100
Llama-2-7b-hf,Books,BLADE_A9_tau1.0,42,0.195,0.39,0.0,1.34,0.82,0.41,1.64,100,100,100
Llama-2-7b-hf,Books,BLADE_A10_fixedLambda,42,0.21,0.42,0.0,1.43,0.84,0.43,1.66,100,100,100
Llama-2-7b-hf,Books,BLADE_A12_rho0,42,0.2,0.4,0.0,1.39,0.86,0.46,1.66,100,100,100
Llama-2-7b-hf,Books,BLADE_A14_symDual,42,0.125,0.25,0.0,1.41,0.777,0.33,1.67,100,100,100
Llama-2-7b-hf,Books,BLADE_A15_noLoRA,42,0.0,0.0,0.0,0.7,0.443,0.04,1.25,100,100,100
