run_id,success,duration_seconds,timestamp,use_sparsity,sparsity,sparsity_method,epsilon,T,K,eta_theta,eta_in,eta_theta_multiplier,rho,gamma,use_implicit,cg_iters,cg_tol,model_utility,forget_quality,privacy_leak
1,True,209.262354,2025-12-16T22:15:29.206842,True,0.1,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,1.0,0.0001,False,10,0.001,0.5742310695902779,0.0030181840772283,-88.42975204941112
2,True,252.318248,2025-12-23T14:52:04.857021,True,0.1,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,1.0,0.0002,False,10,0.001,0.5713170655496028,0.01430154804770646,-87.13105075095517
3,True,193.887397,2025-12-23T14:56:17.183144,True,0.1,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,2.0,0.0001,False,10,0.001,0.5788780103151934,0.0012708143485281624,-91.0271546463231
4,True,189.982603,2025-12-23T14:59:31.072052,True,0.1,layerwise_magnitude,0.05,10,10,0.0002,0.0001,2.0,2.0,0.0002,False,10,0.001,0.5748554523226335,0.006760732303569208,-88.6658795582213
5,True,231.427731,2025-12-23T15:02:41.056235,True,0.1,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,1.0,0.0001,False,10,0.001,0.4545806489976058,0.5786001416508443,-10.62573789645795
6,True,306.395254,2025-12-23T15:06:32.485487,True,0.1,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,1.0,0.0002,False,10,0.001,0.4019432634720747,0.2656871402817289,-6.375442737874779
7,True,278.961995,2025-12-23T15:11:38.882222,True,0.1,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,2.0,0.0001,False,10,0.001,0.490544704754856,0.2656871402817289,-9.090909089191815
8,True,289.109358,2025-12-23T15:16:17.845693,True,0.1,layerwise_magnitude,0.05,10,10,0.0004,0.0002,2.0,2.0,0.0002,False,10,0.001,0.4449120886384327,0.2656871402817289,-6.493506492279864
9,True,199.804802,2025-12-23T15:21:06.956580,True,0.1,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,1.0,0.0001,False,10,0.001,0.5707991257985371,0.003018184077228396,-87.24911450536024
10,True,195.981137,2025-12-23T15:24:26.762903,True,0.1,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,1.0,0.0002,False,10,0.001,0.5668939014342734,0.006760732303569208,-86.89492324214501
11,True,193.433973,2025-12-23T15:27:42.745558,True,0.1,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0001,False,10,0.001,0.5787160934135116,0.003018184077228396,-89.9645808566773
12,True,206.247862,2025-12-23T15:30:56.180968,True,0.1,layerwise_magnitude,0.1,10,10,0.0002,0.0001,2.0,2.0,0.0002,False,10,0.001,0.5624099133423935,0.006760732303569208,-86.89492324214498
13,True,307.101045,2025-12-23T15:34:22.430336,True,0.1,layerwise_magnitude,0.1,10,10,0.0004,0.0002,2.0,1.0,0.0001,False,10,0.001,0.3646413776754974,0.2656871402817289,-1.6528925616712427
