model,split,method,seed,stop_step,MU,FQ,ES,fgt_Prob,fgt_ROUGE,HM
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,42,110,0.6031,0.0971,0.0291,0.0014,0.0360,0.8115
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,123,107,0.5975,0.0971,0.0291,0.0017,0.0356,0.8081
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,456,111,0.6003,0.1650,0.0291,0.0016,0.0365,0.8096
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,789,120,0.5950,0.0541,0.0291,0.0015,0.0402,0.8056
Llama-3.2-1B-Instruct,forget01,LoRA-BiAL-Adaptive,1337,102,0.5987,0.1650,0.0291,0.0016,0.0435,0.8070
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,42,194,0.5974,0.0297,0.0367,0.0141,0.0583,0.8000
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,123,193,0.6011,0.0021,0.0359,0.0156,0.0512,0.8036
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,456,182,0.5957,0.0297,0.0346,0.0154,0.0544,0.7996
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,789,194,0.5933,0.0163,0.0351,0.0138,0.0671,0.7955
Llama-3.2-1B-Instruct,forget05,LoRA-BiAL-Adaptive,1337,187,0.5969,0.0030,0.0358,0.0155,0.0410,0.8035
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,42,244,0.5942,0.0652,0.0401,0.0137,0.0515,0.7997
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,123,249,0.5987,0.0063,0.0361,0.0082,0.0315,0.8084
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,456,225,0.5856,0.0001,0.0359,0.0073,0.0410,0.7984
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,789,258,0.5882,0.0000,0.0346,0.0056,0.0354,0.8016
Llama-3.2-1B-Instruct,forget10,LoRA-BiAL-Adaptive,1337,233,0.5965,0.0000,0.0375,0.0099,0.0370,0.8054
Llama-3.2-3B-Instruct,forget05,LoRA-BiAL-Adaptive,42,125,0.6568,0.0000,0.0349,0.0079,0.0334,0.8415
Llama-3.2-3B-Instruct,forget10,LoRA-BiAL-Adaptive,42,220,0.6481,0.0000,0.0424,0.0068,0.0496,0.8328
Llama-3.2-3B-Instruct,forget01,LoRA-BiAL-Adaptive,42,79,0.6520,0.0001,0.0291,0.0000,0.0144,0.8454
Llama-3.2-3B-Instruct,forget01,LoRA-BiAL-Adaptive,123,78,0.6504,0.0005,0.0291,0.0000,0.0329,0.8400
Llama-3.2-3B-Instruct,forget01,LoRA-BiAL-Adaptive,456,83,0.6554,0.0002,0.0291,0.0000,0.0085,0.8488
Llama-3.2-3B-Instruct,forget01,LoRA-BiAL-Adaptive,789,80,0.6577,0.0030,0.0291,0.0000,0.0155,0.8484
Llama-3.2-3B-Instruct,forget01,LoRA-BiAL-Adaptive,1337,80,0.6550,0.0002,0.0291,0.0000,0.0057,0.8493
Llama-3.2-3B-Instruct,forget05,LoRA-BiAL-Adaptive,123,136,0.6543,0.0000,0.0327,0.0004,0.0052,0.8489
Llama-3.2-3B-Instruct,forget05,LoRA-BiAL-Adaptive,456,134,0.6546,0.0000,0.0328,0.0060,0.0219,0.8436
Llama-3.2-3B-Instruct,forget05,LoRA-BiAL-Adaptive,789,137,0.6513,0.0001,0.0331,0.0027,0.0311,0.8403
Llama-3.2-3B-Instruct,forget05,LoRA-BiAL-Adaptive,1337,134,0.6563,0.0001,0.0441,0.0156,0.0485,0.8356
Llama-3.2-3B-Instruct,forget10,LoRA-BiAL-Adaptive,123,235,0.6406,0.0000,0.0449,0.0095,0.0558,0.8265
Llama-3.2-3B-Instruct,forget10,LoRA-BiAL-Adaptive,456,228,0.6500,0.0000,0.0326,0.0015,0.0240,0.8416
Llama-3.2-3B-Instruct,forget10,LoRA-BiAL-Adaptive,789,249,0.6511,0.0000,0.0328,0.0029,0.0310,0.8402
Llama-3.2-3B-Instruct,forget10,LoRA-BiAL-Adaptive,1337,207,0.6472,0.0000,0.0351,0.0030,0.0271,0.8390
